WC,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,youpl,ipron,prep,auxverb,adverb,conj,negate,quanunit,prepend,specart,particle,modal_pa,general_pa,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,tensem,focuspast,focuspresent,focusfuture,progm,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji,row_index
15424,514.13,0.71,55.19,31.63,4.21,2.79,1.69,0.35,0.45,0.21,0.06,0.04,1.42,3.39,3.68,7.73,2.24,1.53,1.09,1.15,0.62,7.06,0.77,6.3,3.53,0.64,2.99,1.54,5.94,3.87,1.42,0.29,0.22,0.2,4.86,0.3,0.46,0.15,0.16,10.08,2.89,0.99,1.9,1.94,1.82,1.82,2.75,0.75,0.5,0.38,3.07,0.49,0.49,0.23,1.89,5.48,1.65,1.33,1.72,1.04,0.45,3.26,0.44,0.45,0.89,1.5,11.61,3.85,4.69,5.77,1.52,1.96,0.47,0.56,0.18,0.14,4.51,0.12,0.44,3.23,0.47,0.73,24.13,0.26,1.34,0.01,0.02,2.69,19.81,4.12,45
5727,190.9,0.68,62.37,38.1,5.31,3.89,1.96,0.31,0.98,0.56,0.05,0.03,1.41,3.13,4.63,11.37,2.15,2.22,1.36,1.0,0.4,8.38,1.9,6.48,4.17,0.86,3.74,1.61,7.26,4.54,2.13,0.17,0.19,0.3,6.27,0.26,0.17,0.23,0.09,11.3,3.0,1.05,2.37,2.24,2.24,2.06,3.7,1.29,1.1,0.35,2.62,0.73,0.3,0.3,1.36,4.61,1.47,1.01,1.36,0.8,0.42,3.95,0.33,0.7,1.43,1.52,12.21,4.09,4.73,6.44,1.22,2.08,0.28,0.47,0.12,0.14,6.53,0.17,0.94,4.5,0.96,1.0,21.35,0.68,1.31,0.0,0.16,2.67,16.54,3.4,46
7179,358.95,0.54,66.81,44.14,6.94,3.72,2.05,0.32,0.78,0.18,0.21,0.18,3.22,4.49,5.56,13.44,2.45,1.64,0.52,1.09,0.81,8.51,1.18,7.33,5.93,1.23,1.1,2.27,7.15,4.42,1.64,0.21,0.33,0.18,6.53,0.29,0.29,0.04,0.07,15.36,4.0,1.31,3.15,3.19,4.04,1.94,2.94,0.98,0.98,0.54,1.69,0.85,0.38,0.11,0.43,5.67,1.32,1.74,1.7,1.13,0.52,4.11,0.49,0.68,1.52,1.49,13.15,3.93,5.15,7.17,2.38,1.82,0.2,0.24,0.25,0.15,6.09,0.22,0.43,4.23,0.5,1.31,12.97,1.23,1.18,0.0,0.01,2.38,8.16,1.74,47
20775,1598.08,0.18,65.27,41.72,5.04,2.51,1.53,0.09,0.52,0.27,0.06,0.04,2.53,3.57,6.06,11.65,2.19,2.75,0.55,1.08,1.28,9.6,1.49,8.11,4.96,1.65,1.34,2.42,8.41,4.41,2.99,0.43,0.39,0.51,6.14,0.15,0.2,0.06,0.02,15.69,4.61,1.54,3.32,3.58,2.46,2.67,2.97,1.02,1.03,0.53,1.77,0.42,0.95,0.23,0.32,6.61,1.09,2.15,2.32,1.45,0.99,4.29,0.64,0.75,1.27,1.7,12.13,3.82,4.13,6.51,2.84,0.58,0.16,0.39,0.26,0.13,5.82,0.06,0.26,3.8,0.81,1.42,15.89,0.12,0.6,0.0,0.0,1.14,14.03,0.85,48
18080,317.19,0.38,61.26,36.44,6.05,4.34,2.57,0.3,1.18,0.18,0.06,0.06,1.7,3.1,5.5,9.43,2.66,2.4,0.72,1.14,0.62,6.64,1.54,5.11,4.21,0.78,3.77,1.58,9.29,5.46,2.67,0.47,0.34,0.57,6.41,0.4,0.33,0.27,0.14,12.75,3.57,1.34,3.08,2.84,2.18,2.09,2.87,0.85,0.83,0.46,2.84,0.72,1.24,0.24,0.82,6.13,1.54,1.46,2.12,1.26,0.77,3.97,0.68,0.72,1.37,1.26,10.35,3.26,3.74,5.81,1.88,1.21,0.39,0.38,0.22,0.27,5.38,0.06,0.69,3.87,0.64,0.93,28.68,0.88,1.42,0.13,0.07,2.65,23.53,0.53,49
2405,267.22,2.7,47.73,27.19,2.99,2.25,1.91,0.0,0.25,0.08,0.0,0.0,0.75,3.2,4.24,6.74,1.62,1.25,1.37,1.37,0.29,5.28,0.21,5.07,3.28,0.12,3.49,0.96,3.83,2.54,0.75,0.08,0.04,0.0,2.33,0.08,0.21,0.21,0.0,8.07,2.29,1.16,2.04,1.54,1.04,1.16,2.54,0.79,0.12,0.5,4.03,1.87,0.62,0.04,1.66,3.62,0.67,0.87,1.33,0.91,0.29,2.41,0.33,0.62,0.42,1.04,10.23,2.62,4.53,5.2,0.67,1.04,0.21,1.0,0.04,0.0,4.32,0.04,0.58,2.49,0.21,1.37,24.78,0.42,2.04,0.04,0.0,3.95,18.34,3.78,50
574,95.67,1.74,65.16,39.55,6.79,4.18,2.96,0.0,0.52,0.7,0.0,0.0,2.61,2.79,6.45,11.15,2.09,1.57,0.87,1.05,0.35,7.49,1.57,5.92,4.18,0.7,6.62,0.52,6.45,3.31,2.61,0.35,0.35,0.52,4.7,0.17,0.17,0.35,0.0,13.24,3.66,0.35,4.18,2.09,3.66,1.39,3.48,1.39,0.87,0.35,3.14,1.22,0.52,0.52,1.05,5.75,1.05,1.22,1.74,1.22,0.87,5.23,0.52,0.7,1.57,2.44,9.58,3.83,2.61,5.92,2.44,1.74,0.52,0.7,0.35,0.35,7.14,0.17,0.52,5.23,0.17,0.87,37.98,0.87,7.84,0.17,0.0,16.9,12.2,3.48,51
2125,531.25,2.54,55.06,29.93,4.8,3.06,1.69,0.42,0.8,0.09,0.0,0.05,1.74,2.54,2.68,9.08,1.98,1.46,0.75,1.08,0.47,6.21,1.84,4.38,2.92,0.71,2.87,1.32,8.52,6.12,1.79,0.33,0.19,0.24,4.42,0.09,0.24,0.05,0.09,10.21,2.54,0.75,1.69,2.02,3.15,1.36,2.26,0.52,0.38,0.38,3.91,1.41,0.89,0.14,1.65,4.71,1.13,1.51,1.32,0.71,0.61,2.96,0.19,0.47,1.27,0.99,11.2,4.28,3.81,5.6,2.16,3.01,0.66,0.38,0.38,0.24,5.93,0.05,1.41,4.38,0.52,0.71,36.19,1.55,2.31,0.0,0.0,4.94,27.39,9.18,52
15190,230.15,0.73,65.43,37.66,5.33,3.05,1.69,0.49,0.68,0.05,0.07,0.07,2.28,3.58,4.86,7.91,3.46,1.55,0.88,1.38,0.76,8.9,0.34,8.56,3.91,0.53,1.47,2.05,8.49,6.04,1.48,0.25,0.13,0.24,7.84,0.68,0.62,0.28,0.15,12.65,3.85,1.23,2.75,1.63,2.79,1.61,3.51,1.04,0.96,0.7,1.91,0.38,0.84,0.27,0.52,7.82,2.56,2.26,2.63,1.29,0.53,3.63,0.76,0.82,1.42,0.69,12.94,3.98,6.08,6.52,3.49,1.85,0.32,0.45,0.32,0.16,3.04,0.05,0.19,2.3,0.38,0.52,8.53,1.18,1.0,0.0,0.06,1.71,4.58,1.82,53
1147,573.5,1.92,58.24,33.48,5.41,4.53,3.57,0.0,0.87,0.09,0.0,0.0,0.87,3.4,3.75,9.07,1.92,0.87,1.74,0.87,0.7,6.19,0.7,5.49,4.18,0.61,3.84,1.92,7.85,5.23,1.57,0.35,0.52,0.52,4.45,0.61,0.35,0.09,0.0,9.5,2.79,0.44,2.09,2.01,1.83,1.66,4.01,0.78,0.96,0.35,4.45,0.78,0.61,0.61,2.7,5.84,1.22,1.48,2.09,1.74,0.61,3.31,0.78,0.7,0.52,1.31,11.33,3.4,4.01,6.45,1.31,2.18,0.17,0.7,0.0,0.09,5.58,0.26,0.61,3.92,0.35,1.13,38.45,0.7,5.49,0.0,0.0,11.6,20.66,6.19,54
1292,34.92,0.85,60.22,34.91,5.42,3.79,2.55,0.62,0.31,0.23,0.08,0.0,1.63,1.93,3.64,10.45,2.55,1.7,1.01,0.93,0.54,8.28,1.47,6.81,3.64,0.77,6.89,2.17,7.28,5.42,1.7,0.23,0.31,0.31,3.79,0.15,0.23,0.15,0.0,13.62,3.56,0.23,2.55,2.4,4.26,1.93,2.86,1.16,0.31,0.62,2.71,0.7,0.62,0.31,1.01,5.19,1.7,0.7,1.39,1.24,0.46,3.41,0.39,0.15,1.01,2.01,7.74,2.71,3.25,3.64,0.77,1.55,0.23,0.39,0.08,0.15,6.73,0.15,0.54,5.65,0.46,0.39,28.25,3.02,2.24,0.0,0.0,4.95,18.03,6.35,55
6634,368.56,7.63,54.84,32.39,5.41,3.39,1.85,0.2,0.96,0.32,0.06,0.0,2.02,2.74,3.56,8.91,1.63,1.67,0.57,0.77,0.51,7.85,0.87,6.98,4.58,0.63,2.38,1.96,7.63,5.0,1.79,0.32,0.23,0.41,5.71,0.38,0.32,0.45,0.06,11.12,3.57,0.83,2.58,2.56,2.02,1.46,2.46,0.77,0.57,0.35,2.44,0.56,0.78,0.27,0.86,4.91,1.28,1.12,1.24,1.31,0.69,3.84,0.53,0.65,0.99,1.82,11.05,2.64,3.81,6.68,1.04,1.21,0.23,0.38,0.35,0.14,5.03,0.09,0.42,3.78,0.45,0.9,35.98,1.39,5.76,0.02,0.33,11.56,16.93,3.26,56
1967,98.35,0.1,62.07,39.91,5.19,3.2,2.8,0.1,0.1,0.15,0.05,0.0,1.98,4.22,3.76,10.52,3.05,1.53,0.86,1.47,0.36,10.17,1.68,8.49,4.22,0.51,1.73,2.24,7.27,4.27,1.98,0.41,0.25,0.25,3.56,0.15,0.05,0.1,0.2,12.46,5.39,1.02,1.53,1.78,2.03,2.19,3.41,1.17,0.56,0.31,2.8,0.51,0.61,0.2,1.53,4.17,0.66,1.02,1.12,1.07,0.71,6.41,0.56,0.86,1.63,3.3,13.68,4.27,5.13,8.39,1.07,2.44,0.56,0.61,0.0,0.0,6.46,0.1,0.36,4.88,0.36,1.53,23.54,4.22,4.27,0.0,0.0,8.44,6.61,1.63,57
830,166.0,0.96,61.93,38.19,8.07,6.14,3.98,0.36,0.6,0.84,0.12,0.24,1.93,3.49,5.42,9.04,1.57,1.33,0.96,0.84,0.72,7.71,1.08,6.63,3.37,0.96,2.29,0.96,8.67,5.9,1.81,0.48,0.12,0.24,6.02,0.36,0.12,0.12,0.12,12.05,4.94,0.72,3.61,2.65,1.93,1.08,4.46,1.57,0.96,0.36,2.17,0.6,0.36,0.36,0.84,6.14,1.08,0.96,1.57,2.05,0.72,4.58,0.24,0.48,1.33,2.65,10.84,4.1,3.61,6.14,1.93,1.45,0.48,0.48,0.12,0.12,7.95,0.0,0.72,6.51,0.36,0.36,42.29,6.63,6.63,0.0,0.12,13.98,14.94,4.94,58
